"""number"""	"""clue"""
1A	Hate (like nature vis-à-vis a vaccuum)
6A	Kind of butter used in lotions
10A	Brownish shade
11A	Salvador who painted melting watches
15A	Like ZIPs (and 70 acrosses, essentially!)
18A	A sauce made of basil, garlic, olive oil, and pine nuts
19A	"How a texter might say, ""totally agreed!"""
20A	"""The Tortoise and the Hare"" author"
21A	Dress worn to a ball
23A	Sold __ __ (warning to a buyer)
25A	Software test version
26A	Anti-HIV drug (abbr.)
28A	What a vegetarian eschews
30A	_____ apso - a breed of dog
34A	ABC drama about a plane crash with a famously bad ending
37A	Not even
38A	Sweet Home _______
40A	A 160-bit hashing algorithm released in 1993 and quickly retracted
41A	A binary-based system (also required to play 70 across!)
44A	Small piece of toast (that pet birds will gladly clean up!)
45A	"Directions on ""Alice in Wonderland"" cake"
46A	Bit
47A	Joined together, like oxen
51A	___ sled (90 90 90 90 90 ...)
52A	Company you outsource your IT to (abbr.)
54A	She might lay an egg
55A	Each
56A	It holds back water
58A	An audio file (like 70 acrosses) might have 44,100 of these per second
61A	A scottish hat
64A	The opposite direction to SSW
65A	Digital representations
66A	Before, in poetry
67A	Not against
68A	One of seven, released by pandora
69A	A numerical variable (for short)
70A	"A format for encoding audio, as depicted in the circled squares (also, a 15-across, played on a 41-across, which is made up of millions of 58-acrosses)

Note: This answer breaks a typical crossword rule!"
1D	Had as a meal
2D	Where you might wash your hands
3D	What's removed from corn, and used for a tamali
4D	A browser that's utterly defunct (or should be!)
5D	#FF0000
6D	An encrypted file-copy utility (or fictional foundation that tracks anomolies)
7D	A ground-breaking tool
8D	Letters on an ambulance
9D	A command for installing packages on Ubuntu (unlike 56-down)
11D	Fuel used by semis
12D	Lou Gehrig's disease, for short
13D	"""The Lion"" constellation"
14D	Company that brings the internet to your house
16D	The superuser account, on Linux
17D	Place where you might ride a Ferris Wheel
22D	Small kangaroo
24D	Sent repeated emails
25D	Poorly constructed sentences have it
27D	"Meeting after a project that's often called a ""retrospective"" now"
28D	Video game customization (abbr.)
29D	Official order
31D	He wouldn't open the pod bay doors
32D	"""It's as easy as ___!"""
33D	___ Paulo
35D	The first cloned mammal
36D	Utility for combining files (often used with gzip or bzip2 to create 15-acrosses)
38D	Machine that dispenses money (abbr.)
39D	Org. for therapists (abbr.)
42D	Implanted birth control devices (abbr.)
43D	____ Reader, magazine that's very popular in crossword puzzles (and an anagram of something you might hear in a 70-across!)
48D	"""Hoo boy!"""
49D	Didn't discard
50D	Former Chinese premier Zhou _____
53D	Informative TV spots (abbr.)
55D	Vowelless attention-getter
56D	A utility for installing packages on Fedora (unlike 9-down)
57D	Year, in Portugese
59D	A video file format (unlike 70-across)
60D	A sea eagle that sounds like it makes money
62D	A layer-2 discovery protocol (abbr.)
63D	"""I did something!"" ""I did too!"" ""__ _!"""
